,importance
Days_Between_Service_and_Claim,0.5030491604410819
Claim_Status,0.15626710871971555
Claim_Amount,0.12262012286054848
Approved_Amount,0.06691877701624198
Number_of_Claims_Per_Provider_Monthly,0.03070990050500324
Patient_Age,0.018360004348602934
Submission_Day,0.015253997469146463
Submission_Month,0.011570013694918306
Diagnosis_Code,0.010537404505001966
Prior_Visits_12m,0.00983095851710219
Patient_State,0.009516897586053898
Procedure_Code,0.009432957938997816
Provider_Specialty,0.008329993451399438
Length_of_Stay,0.006866250446308024
Submission_Year,0.006183536151423015
Insurance_Type,0.005606252147254399
Visit_Type,0.003944446967140182
Patient_Gender,0.0025401718281016224
Chronic_Condition_Flag,0.0024620454059587384
