,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Patient_Age,10000.0,,,,49.755,17.91014383876446,1.0,37.75,50.0,62.0,95.0
Patient_Gender,10000,2,Female,5001,,,,,,,
Diagnosis_Code,10000,10,M54.5,1055,,,,,,,
Procedure_Code,10000.0,,,,86905.2117,14965.3249601938,36415.0,80053.0,93000.0,99213.0,99214.0
Claim_Amount,10000.0,,,,572.8044060000001,406.20243744129044,60.21,305.205,461.225,711.365,6590.7
Approved_Amount,10000.0,,,,475.514157,323.2571652121503,50.35,257.20000000000005,388.37,598.3475000000001,4270.89
Insurance_Type,10000,4,Medicare,2775,,,,,,,
Days_Between_Service_and_Claim,10000.0,,,,14.4138,8.489874990701322,0.0,7.0,14.0,22.0,29.0
Number_of_Claims_Per_Provider_Monthly,10000.0,,,,68.628,14.905872483804844,42.0,60.0,66.0,72.0,144.0
Provider_Specialty,10000,6,Internal Medicine,2369,,,,,,,
Patient_State,10000,8,PA,1327,,,,,,,
Claim_Status,10000,3,Approved,7053,,,,,,,
Is_Fraud,10000.0,,,,0.0829,0.2757447978101345,0.0,0.0,0.0,0.0,1.0
Length_of_Stay,10000.0,,,,2.1993,1.710459609931705,0.0,1.0,2.0,3.0,5.0
Visit_Type,10000,3,Outpatient,3423,,,,,,,
Chronic_Condition_Flag,10000.0,,,,0.292,0.45470504249190674,0.0,0.0,0.0,1.0,1.0
Prior_Visits_12m,10000.0,,,,3.0255,1.692375893120781,0.0,2.0,3.0,4.0,12.0
Submission_Year,10000.0,,,,2022.5237,1.1308254448051043,2021.0,2022.0,2023.0,2024.0,2025.0
Submission_Month,10000.0,,,,6.5542,3.440355499740755,1.0,4.0,7.0,10.0,12.0
Submission_Day,10000.0,,,,15.5851,8.8528410846195,1.0,8.0,15.5,23.0,31.0
